post_id,post_date,post_type,reach,click,likes,comments,share,reaction
1,2024-01-10,article,848706,67896,59409.0,241,37,384
2,2024-02-06,short,7927,476,317.0,284,72,16
3,2024-01-18,short,8326,666,167.0,252,32,50
4,2024-02-11,short,4039,162,40.0,149,87,487
5,2024-03-13,promo,496568,39725,14897.0,57,7,271
6,2024-01-29,promo,6610,264,0.0,84,63,226
7,2024-02-19,short,8761,88,88.0,19,6,433
8,2024-02-05,promo,6055,0,606.0,158,35,437
9,2024-01-31,promo,831,50,0.0,130,36,7
10,2024-01-16,promo,3668,37,330.0,114,16,83
11,2024-02-01,short,8512,0,681.0,266,9,68
12,2024-02-11,short,210466,16837,6314.0,102,34,81
13,2024-02-03,article,9751,585,878.0,13,65,267
14,2024-02-09,promo,3080,123,308.0,62,28,371
15,2024-01-30,short,2347,70,141.0,278,78,476
16,2024-02-17,short,722844,65056,50599.0,4,84,441
17,2024-02-10,article,749,75,22.0,106,61,295
18,2024-01-25,article,703,42,0.0,267,12,135
19,2024-01-19,promo,4676,234,281.0,40,73,88
20,2024-03-25,short,930,84,9.0,37,7,68
21,2024-03-22,article,2114,0,21.0,255,88,476
22,2024-02-24,short,1058,95,63.0,50,79,111
23,2024-03-21,short,191904,1919,7676.0,97,90,174
24,2024-03-15,short,2733,137,246.0,4,17,366
25,2024-01-12,short,278306,11132,19481.0,264,15,9
26,2024-03-24,promo,7679,614,154.0,125,58,363
27,2024-03-06,short,781263,31251,15625.0,175,21,182
28,2024-01-05,promo,1398,42,0.0,228,39,464
29,2024-01-30,short,307,15,21.0,53,98,17
30,2024-01-04,short,4369,393,437.0,116,28,271
31,2024-02-22,promo,830,8,75.0,137,70,255
32,2024-02-13,article,560944,50485,0.0,279,18,81
33,2024-01-20,promo,1458,131,73.0,178,72,415
34,2024-02-23,short,2860,143,286.0,80,18,157
35,2024-03-20,short,959,67,29.0,97,71,303
36,2024-01-05,promo,944,0,57.0,274,53,49
37,2024-01-29,article,895,90,45.0,213,68,256
38,2024-02-02,short,634,38,38.0,84,64,479
39,2024-03-16,short,119914,8394,0.0,118,36,354
40,2024-03-22,promo,1109,22,100.0,198,82,116
41,2024-02-02,short,7271,145,218.0,53,26,320
42,2024-02-24,article,2464,99,99.0,128,14,182
43,2024-01-10,short,78,1,2.0,127,37,24
